frozenlayer,RMSE,MAE,MAPE,T-RMSE,T-MAE,T-MAPE
1,,,,0.036654009412676034,0.03179707622099458,2.6432646248286376
2,,,,0.039041544834159794,0.03435040392072013,2.857312223816842
3,,,,0.03834646544654664,0.03364986986095985,2.798821632550923
4,,,,0.041485014571526625,0.03636187182222859,3.0228150358270462
5,,,,0.04292271279270594,0.03814270116613152,3.1734674483638043
6,,,,0.03580303329191197,0.03141276074098737,2.6143565037786667
