Timescale,RMSE,MAE,MAPE,T-RMSE,T-MAE,T-MAPE
1,0.0066317891816852275,0.005384274184442785,0.7066438738038919,0.0052247643976779815,0.004156853303422026,0.5468048323853588
2,0.009671971874231581,0.007839611696313925,1.0278722295198683,0.007088997579647044,0.005762816775286635,0.7569883183795862
3,0.01139296156033625,0.009474661476692445,1.2407709216017822,0.00860941027272961,0.006931677091791389,0.9083170547046583
4,0.012956268616683073,0.010615528830614953,1.3885816311872798,0.00912114747307111,0.0074855459560047456,0.9784861189095488
5,0.01482309162759715,0.012360872292518605,1.6171323084073843,0.010673111123222738,0.008167435510341948,1.0621898849819107
6,0.013949043360198962,0.01153019641831864,1.512801648025056,0.010130800136622846,0.00738697799860046,0.9633987239127478
7,0.016497424870338603,0.013849628204769577,1.82033509157079,0.01242296620909806,0.009203703930642883,1.1975611976771594
