Timescale,RMSE,MAE,MAPE,T-RMSE,T-MAE,T-MAPE
1,0.010032158115902379,0.007952715369036597,0.6701593630258301,0.009678472512772446,0.007834189418458587,0.6546781894199355
2,0.013594782734482986,0.01069132442898221,0.8992386557777056,0.013724757687192947,0.011464264481155964,0.9571507708780538
3,0.029569945381954888,0.02357618424061979,1.981957217929368,0.017188594569835364,0.01435463468787375,1.1976894900112645
4,0.03332841732297106,0.02619132481488314,2.2060121692737513,0.016161569386382607,0.01361391873215184,1.1371171403774922
5,0.03556935721531072,0.02856404116703913,2.4119684680752767,0.018692315834827812,0.01579419073324937,1.3188356004915773
6,0.039988778894760595,0.03170466640383698,2.679903198156241,0.019642513078488452,0.015766206395348835,1.3129162163314543
7,0.040233559062979554,0.03228520581987168,2.7275991135995064,0.022375754604564743,0.01794553022914465,1.4918826139787829
