Timescale,RMSE,MAE,MAPE,T-RMSE,T-MAE,T-MAPE
1,0.004773631249565376,0.003762764396806701,0.49513178512477507,0.007364673981810884,0.006044466127966438,0.7939337495831797
2,0.00710616684677753,0.005515035038700806,0.7249265339027916,0.00978800374955788,0.007901982597068504,1.0343616745587143
3,0.008741511710217352,0.007053279788842375,0.9262855460281799,0.012170538699316323,0.009097465135810093,1.1879579138958742
4,0.009625280818665044,0.007714355338703501,1.0111253203814725,0.013505725946196005,0.010117600167881352,1.320389385645551
5,0.01028232014693057,0.00828782271238475,1.0837658503422785,0.014755929913230456,0.01141100093768194,1.485965452616551
6,0.009121984646736381,0.007257267242254217,0.9510740676101606,0.015072579068899805,0.01186135581260504,1.5460081199015951
7,0.011081921715699555,0.009471077039506717,1.2395041784071756,0.01715340236446183,0.013674795076582175,1.7819839256800383
