Timescale,RMSE,MAE,MAPE,T-RMSE,T-MAE,T-MAPE
1,0.007323709388013198,0.005973451986104035,0.7841996277962244,0.007403581152069975,0.006005334440983124,0.7875444874272673
2,0.010156967262787434,0.008468556352544713,1.109413482284591,0.009704625912886643,0.00779030454423692,1.0192322642724703
3,0.013120785343172384,0.011190348789129357,1.4627114973136826,0.011400715693808525,0.008737315083621588,1.1415786844548796
4,0.014838622235023748,0.01227903883095943,1.6043138179567336,0.012945552321646814,0.01016855076587561,1.3284728907826815
5,0.01684261791849972,0.014409790917543262,1.8845557281962924,0.014032379316920897,0.011019138035407426,1.4373005786431425
6,0.016757991498669966,0.01432222056499747,1.8791171017808472,0.014290131286721797,0.011675175181100537,1.5260635997010723
7,0.018733003872481578,0.016159417917993347,2.1248610062415727,0.016606710540976316,0.013515792120827576,1.7657668182553055
