Timescale,RMSE,MAE,MAPE,T-RMSE,T-MAE,T-MAPE
1,0.04190530677948596,0.031223073137937627,0.47660454362633353,0.024218552173345533,0.018814544157042114,0.28697237529279684
2,0.05821651697427342,0.042877861542878294,0.654902372523088,0.03575230343186348,0.02670695590549041,0.4077459051646884
3,0.07167913876298174,0.053139054373409,0.8122781905878493,0.04773360066702193,0.035318827339772436,0.5402063508373832
4,0.10625193444869516,0.07934996111320711,1.2130094339085855,0.056070311213197964,0.04262028286095821,0.6508957516316765
5,0.13396064033910535,0.10497628677074723,1.604456763555354,0.06406387337228307,0.04926486643277688,0.7531397235253938
6,0.1429103588906445,0.11597434337527246,1.7736022092230943,0.07681377258124542,0.05933595020382904,0.908616183391437
7,0.1757848541543998,0.15085121332804358,2.302719385930691,0.08532105552315555,0.06895710156758621,1.0548574440916987
