Timescale,RMSE,MAE,MAPE,T-RMSE,T-MAE,T-MAPE
1,0.0377739638754151,0.02805896720329342,0.42832772764796173,0.04422814314605812,0.03405041820498278,0.5176259403006008
2,0.03985861097818709,0.028951728922526034,0.44332391835674767,0.06536746338980416,0.050038246064362704,0.7619593818722855
3,0.0669016950371873,0.04943397098498402,0.7547213247516006,0.09152636444564671,0.07281232879295778,1.1084645714220214
4,0.07963836540844317,0.05795799908493502,0.885016566348179,0.1098588195968014,0.08681480840047193,1.3242665226262011
5,0.09596627527121304,0.07075481392787047,1.0802015341783144,0.12667687448427034,0.10408679448641259,1.5874562294567442
6,0.12658172013719848,0.09665587016260906,1.4770847324868477,0.1496351487365536,0.12266612028964735,1.8764381279521822
7,0.11274945274462704,0.0864679997762045,1.3217744203236108,0.16609542407557154,0.14066344901190866,2.147981457683359
