Timescale,RMSE,MAE,MAPE,T-RMSE,T-MAE,T-MAPE
1,0.04353545708603178,0.03235089725299469,0.493847116876455,0.04004513972022534,0.02966943953298301,0.4530059072475663
2,0.06583596295639936,0.04858318093193897,0.7414037237768532,0.06256330111126268,0.04663030648690682,0.712193959007486
3,0.09271515777971323,0.07148265938062347,1.0903161104758847,0.08801953655932308,0.06846723930273166,1.0458630403533526
4,0.10767016464925838,0.08254013440681213,1.2601926715679044,0.10668848392401162,0.08061124113834243,1.233433251206463
5,0.1396963018815847,0.11078962238018321,1.6906389662148642,0.12308369324627667,0.09684732569180994,1.481440502797798
6,0.15751428585527172,0.12867482345935902,1.966550836325181,0.1459892431439282,0.11968665372271863,1.8320561133234194
7,0.16957685089064592,0.14522465631696913,2.213715354775593,0.16071253965490154,0.13731869398752844,2.098477084652751
